Site,Square,AU,Spit,Group,Artno,Material,Colour,Weight,Length,Artclas,Cortex,Cortype,Initiat,Breaks,Noseg,Platwid,Plat,Focal,Overhang,NoDS,NoPS,Rtch,Plat_2,Focal_2,Overhang_2,NoDS_2,NoPS_2,Rtch_2,RetOri,Retype,Retloc,Retlen,Retdep,Portion,Heat,EdgeDam,Weathering,Corerot,RetScNo,Term,Janus,Recycled,Redirect,Usewear?,Width,Thick,Platthic,area,elongation
J,B,1,1,1,32,Chert,Grey,0.02,1.96,Flake,0,,Hertz,,,5.82,Single,,No,3,1,,Single,,No,3,1,No,,,,,,,,,,,,Feather,,,,,5.49,2.21,2.15,10.7604,0.35701275
J,B,1,1,1,33,Volcanic,Brown,0.23,8.5,Flake,0,,Bending,,,7.91,2-scars,,Yes,2,2,,2-scars,,Yes,2,2,No,,,,,,,,,,,,Step,,,,,7.09,2.7,4.51,60.265,1.19887165
J,B,1,1,1,35,Chert,Grey,0.04,6.1,Flake,0,,Hertz,,,,Focal,,Yes,3,,,Focal,,Yes,3,,No,,,,,,,,,,,,Feather,,,,,4.7,1.55,,28.67,1.29787234
J,B,1,1,1,36,Chert,Grey,0.11,7.19,Flake,0,,Hertz,,,7.89,3-scars,,Yes,3,3,,3-scars,,Yes,3,3,No,,,,,,,,,,,,Hinge,,,,,8.8,1.41,0.84,63.272,0.817045455
J,B,1,1,1,37,Chert,Grey,0.03,4.76,Flake,0,,Hertz,,,,Partcoll,,Yes,3,,,Partcoll,,Yes,3,,No,,,,,,,,1,,,,Feather,,,,,6.98,1.41,,33.2248,0.681948424
J,B,1,1,1,38,Volcanic,Dk Grey,0.06,4.24,Flake,60,Angul,Hertz,,,3.9,Cort,,Yes,2,0,,Cort,,Yes,2,0,No,,,,,,,,,,,,Feather,,,,,4.26,2.61,2.76,18.0624,0.995305164
J,B,1,1,1,43,Chert,Pink,0.02,4.81,Flake,0,,Hertz,,,,Focal,,No,4,,,Focal,,No,4,,No,,,,,,,,,,,,Feather,,,,,2.7,1.45,,12.987,1.781481481
J,B,1,1,1,44,Chert,Brown,0.08,7.54,Flake,0,,Hertz,,,3.92,Single,,No,3,1,,Single,,No,3,1,No,,,,,,,,,,,,Feather,,,,,4.53,2.29,2.42,34.1562,1.664459161
J,B,1,1,1,45,Chert,Brown,0.05,4.62,RetF,0,,Bending,,1,1.17,Single,,,4,1,Yes,Single,,,4,1,Yes,V-D,Press,Dist,3.04,2.27,,,,,,2,Retouched,,,,,3.27,2.13,1.31,15.1074,1.412844037
J,B,1,1,1,46,Chert,White,0.04,4.61,Flake,0,,Hertz,,,2.26,Partcoll,,Yes,2,1,,Partcoll,,Yes,2,1,No,,,,,,,,,,,,Feather,,,,,3.63,2.34,2.42,16.7343,1.269972452
J,B,1,1,1,49,Chert,Grey,0.01,6.14,Flake,0,,Hertz,,,,Focal,,No,3,,,Focal,,No,3,,No,,,,,,,,,,,,Feather,,,,,2.54,1.12,,15.5956,2.417322835
J,B,1,1,1,67,Chert,Brown,0.03,3.63,Flake,15,Angul,Hertz,,,3.35,Single,,No,4,1,,Single,,No,4,1,No,,,,,,,,,,,,Feather,,,,,5.86,2.26,1.46,21.2718,0.619453925
J,B,1,1,1,68,Chert,Red,0.04,3.71,Flake,0,,Bending,,,5.06,Single,,Yes,4,1,,Single,,Yes,4,1,No,,,,,,,,,,,,Feather,,,,,4.85,1.57,1.44,17.9935,0.764948454
J,B,1,1,1,2219,Chert,Orange,0.21,6.46,Flake,0,,Hertz,,,6.5,Single,,Yes,3,1,,Single,,Yes,3,1,No,,,,,,,,,,,,Feather,,,,,7.08,3.76,3.59,45.7368,0.912429379
J,B,1,1,1,5154,Chert,White,0.04,5.09,Flake,0,,Hertz,,,,Focal,,Yes,8,,,Focal,,Yes,8,,No,,,,,,,,1,,,,Feather,,,,,3.83,1.4,,19.4947,1.328981723
J,B,1,2,1,81,Chert,Brown,3.42,10.22,Flake,0,,Hertz,,,29.31,Single,,No,3,1,,Single,,No,3,1,No,,,,,,,1,,,,,Feather,,,,,30.3,8.07,8.83,309.666,0.337293729
J,B,1,2,1,82,Chert,Brown,0.92,11.56,Flake,0,,Hertz,,,7.98,Single,,Yes,3,1,,Single,,Yes,3,1,No,,,,,,,1,1,,,,Feather,,,,,19.18,3.23,4.26,221.7208,0.602711157
J,B,1,2,1,83,Chert,Brown,0.71,15.26,Flake,15,Angul,Hertz,,,8.84,Cort,,No,5,0,,Cort,,No,5,0,No,,,,,,,,,,,,Feather,,,,,13.15,2.87,3.27,200.669,1.160456274
J,B,1,2,1,85,Chert,Red,0.26,7.1,Flake,0,,Hertz,,,10.98,2-scars,,Yes,3,2,,2-scars,,Yes,3,2,No,,,,,,,,,,,,Feather,,,,,10.96,2.23,2.76,77.816,0.647810219
J,B,1,2,1,87,Chert,Lt Brown,0.16,6.08,Flake,0,,Hertz,,,7.15,Single,,Yes,5,1,,Single,,Yes,5,1,No,,,,,,,,1,,,,Feather,,,,,13.26,1.87,1.93,80.6208,0.45852187
J,B,1,2,1,88,Volcanic,Grey,0.38,13.28,Flake,40,Angul,Hertz,,,6.1,Single,,No,1,1,,Single,,No,1,1,No,,,,,,,,,,,,Feather,,,,,9.09,2.51,1.9,120.7152,1.460946095
J,B,1,2,1,89,Chert,Grey,0.16,8.98,Flake,0,,Hertz,,,,Focal,,Yes,2,,,Focal,,Yes,2,,No,,,,,,,,,,,,Feather,,,,,10.14,1.64,,91.0572,0.885601578
J,B,1,2,1,90,Chert,Pink,0.1,8.26,Flake,0,,Hertz,,,3.93,Single,,Yes,3,1,,Single,,Yes,3,1,No,,,,,,,,,,,,Feather,,,,,6.58,1.72,1.65,54.3508,1.255319149
J,B,1,2,1,91,Chert,Brown,0.17,5.73,Flake,0,,Hertz,,,5.45,2-scars,,No,3,2,,2-scars,,No,3,2,No,,,,,,,,,,,,Feather,,,,,11.09,2.09,3.05,63.5457,0.516681695
J,B,1,2,1,92,Chert,Grey,0.14,5.18,Flake,0,,Hertz,,,5.24,Single,,No,4,1,,Single,,No,4,1,No,,,,,,,,,,,,Feather,,,,,11.09,1.68,1.58,57.4462,0.467087466
