Site,Square,Spit,Group,Artno,Material,Colour,Weight,Length,Artclas,Cortex,Cortype,Initiat,Breaks,Noseg,Platwid,Plat,Focal,Overhang,NoDS,NoPS,Rtch,Plat_2,Focal_2,Overhang_2,NoDS_2,NoPS_2,Rtch_2,RetOri,Retype,Retloc,Retlen,Retdep,Portion,Heat,EdgeDam,Weathering,Corerot,RetScNo,Term,Janus,Recycled,Redirect,Usewear?,Width,Thick,Platthic,area,elongation,,,,Site,Square,Spit,Group,Artno,Material,Colour,Weight,Length,Artclas,Cortex,Cortype,Initiat,Breaks,Noseg,Platwid,Plat,Focal,Overhang,NoDS,NoPS,Rtch,Plat_2,Focal_2,Overhang_2,NoDS_2,NoPS_2,Rtch_2,RetOri,Retype,Retloc,Retlen,Retdep,Portion,Heat,EdgeDam,Weathering,Corerot,RetScNo,Term,Janus,Recycled,Redirect,Usewear?
J,B,1,1,28,Chert,Grey,0.12,8.3,Flake,0,,Hertz,,,3.33,Single,,No,3,1,,Single,,No,3,1,,,,,,,,,,,,,Feather,,,,,5.11,3.22,1.87,42.413,1.624266145,,,,J,B,1,1,28,Chert,Grey,0.12,8.3,Flake,0,,Hertz,,,3.33,Single,,No,3,1,,Single,,No,3,1,,,,,,,,,,,,,Feather,,,,
J,B,1,1,29,Chert,Grey,0.23,11.68,Flake,0,,Hertz,,,4.14,2-scars,,Yes,5,2,,2-scars,,Yes,5,2,,,,,,,,,,,,,Feather,,,,,6.36,2.18,1.67,74.2848,1.836477987,,,,J,B,1,1,29,Chert,Grey,0.23,11.68,Flake,0,,Hertz,,,4.14,2-scars,,Yes,5,2,,2-scars,,Yes,5,2,,,,,,,,,,,,,Feather,,,,
J,B,1,1,30,Chert,Beige,0.08,9,Flake,0,,Hertz,,,,Focal,,Yes,5,,,Focal,,Yes,5,,,,,,,,,,,,,,Feather,,,,,5.95,1.52,,53.55,1.512605042,,,,J,B,1,1,30,Chert,Beige,0.08,9,Flake,0,,Hertz,,,,Focal,,Yes,5,,,Focal,,Yes,5,,,,,,,,,,,,,,Feather,,,,
J,B,1,1,31,Chert,Grey,0.03,5.56,Flake,0,,Hertz,,,5.85,3-scars,,Yes,2,3,,3-scars,,Yes,2,3,,,,,,,,,,,,,Feather,,,,,5.63,1.53,1.8,31.3028,0.987566607,,,,J,B,1,1,31,Chert,Grey,0.03,5.56,Flake,0,,Hertz,,,5.85,3-scars,,Yes,2,3,,3-scars,,Yes,2,3,,,,,,,,,,,,,Feather,,,,
J,B,1,1,32,Chert,Grey,0.02,1.96,Flake,0,,Hertz,,,5.82,Single,,No,3,1,,Single,,No,3,1,,,,,,,,,,,,,Feather,,,,,5.49,2.21,2.15,10.7604,0.35701275,,,,J,B,1,1,32,Chert,Grey,0.02,1.96,Flake,0,,Hertz,,,5.82,Single,,No,3,1,,Single,,No,3,1,,,,,,,,,,,,,Feather,,,,
J,B,1,1,33,Volcanic,Brown,0.23,8.5,Flake,0,,Bending,,,7.91,2-scars,,Yes,2,2,,2-scars,,Yes,2,2,,,,,,,,,,,,,Step,,,,,7.09,2.7,4.51,60.265,1.19887165,,,,J,B,1,1,33,Volcanic,Brown,0.23,8.5,Flake,0,,Bending,,,7.91,2-scars,,Yes,2,2,,2-scars,,Yes,2,2,,,,,,,,,,,,,Step,,,,
J,B,1,1,34,Chert,Yellow,0.05,6.95,Flake-b,0,,Hertz,Long,,5.45,Single,,No,4,1,,Single,,No,4,1,,,,,,,Rlat,,,,,,Feather,,,,,4.93,1.64,1.47,34.2635,1.409736308,,,,J,B,1,1,34,Chert,Yellow,0.05,6.95,Flake-b,0,,Hertz,Long,,5.45,Single,,No,4,1,,Single,,No,4,1,,,,,,,Rlat,,,,,,Feather,,,,
J,B,1,1,35,Chert,Grey,0.04,6.1,Flake,0,,Hertz,,,,Focal,,Yes,3,,,Focal,,Yes,3,,,,,,,,,,,,,,Feather,,,,,4.7,1.55,,28.67,1.29787234,,,,J,B,1,1,35,Chert,Grey,0.04,6.1,Flake,0,,Hertz,,,,Focal,,Yes,3,,,Focal,,Yes,3,,,,,,,,,,,,,,Feather,,,,
J,B,1,1,36,Chert,Grey,0.11,7.19,Flake,0,,Hertz,,,7.89,3-scars,,Yes,3,3,,3-scars,,Yes,3,3,,,,,,,,,,,,,Hinge,,,,,8.8,1.41,0.84,63.272,0.817045455,,,,J,B,1,1,36,Chert,Grey,0.11,7.19,Flake,0,,Hertz,,,7.89,3-scars,,Yes,3,3,,3-scars,,Yes,3,3,,,,,,,,,,,,,Hinge,,,,
J,B,1,1,37,Chert,Grey,0.03,4.76,Flake,0,,Hertz,,,,Partcoll,,Yes,3,,,Partcoll,,Yes,3,,,,,,,,,,1,,,,Feather,,,,,6.98,1.41,,33.2248,0.681948424,,,,J,B,1,1,37,Chert,Grey,0.03,4.76,Flake,0,,Hertz,,,,Partcoll,,Yes,3,,,Partcoll,,Yes,3,,,,,,,,,,1,,,,Feather,,,,
J,B,1,1,38,Volcanic,Dk Grey,0.06,4.24,Flake,60,Angul,Hertz,,,3.9,Cort,,Yes,2,0,,Cort,,Yes,2,0,,,,,,,,,,,,,Feather,,,,,4.26,2.61,2.76,18.0624,0.995305164,,,,J,B,1,1,38,Volcanic,Dk Grey,0.06,4.24,Flake,60,Angul,Hertz,,,3.9,Cort,,Yes,2,0,,Cort,,Yes,2,0,,,,,,,,,,,,,Feather,,,,
J,B,1,1,39,Chert,Lt Purple,0.06,2.93,FFrag,0,,,Both,,,,,,3,,,,,,3,,,,,,,,Dist,,,,,,Hinge,,,,,6.72,2.31,,19.6896,0.436011905,,,,J,B,1,1,39,Chert,Lt Purple,0.06,2.93,FFrag,0,,,Both,,,,,,3,,,,,,3,,,,,,,,Dist,,,,,,Hinge,,,,
J,B,1,1,40,Chert,Cream,0.02,5.49,Flake-b,0,,Hertz,Long,,1.45,Single,,Yes,2,1,,Single,,Yes,2,1,,,,,,,Llat,,,,,,Hinge,,,,,3.68,1.06,1.13,20.2032,1.491847826,,,,J,B,1,1,40,Chert,Cream,0.02,5.49,Flake-b,0,,Hertz,Long,,1.45,Single,,Yes,2,1,,Single,,Yes,2,1,,,,,,,Llat,,,,,,Hinge,,,,
J,B,1,1,41,Chert,Brown,0.04,5.94,Flake-b,0,,Hertz,Long,,1.2,Single,,No,1,1,,Single,,No,1,1,,,,,,,Rlat,,,,,,Hinge,,,,,3.94,1.3,0.98,23.4036,1.507614213,,,,J,B,1,1,41,Chert,Brown,0.04,5.94,Flake-b,0,,Hertz,Long,,1.2,Single,,No,1,1,,Single,,No,1,1,,,,,,,Rlat,,,,,,Hinge,,,,
J,B,1,1,42,Chert,Brown,0.01,3.97,Flake-b,0,,Hertz,,,,Focal,,Yes,1,,,Focal,,Yes,1,,,,,,,,,,,,,,Feather,,,,,2.54,0.46,,10.0838,1.562992126,,,,J,B,1,1,42,Chert,Brown,0.01,3.97,Flake-b,0,,Hertz,,,,Focal,,Yes,1,,,Focal,,Yes,1,,,,,,,,,,,,,,Feather,,,,
J,B,1,1,43,Chert,Pink,0.02,4.81,Flake,0,,Hertz,,,,Focal,,No,4,,,Focal,,No,4,,,,,,,,,,,,,,Feather,,,,,2.7,1.45,,12.987,1.781481481,,,,J,B,1,1,43,Chert,Pink,0.02,4.81,Flake,0,,Hertz,,,,Focal,,No,4,,,Focal,,No,4,,,,,,,,,,,,,,Feather,,,,
J,B,1,1,44,Chert,Brown,0.08,7.54,Flake,0,,Hertz,,,3.92,Single,,No,3,1,,Single,,No,3,1,,,,,,,,,,,,,Feather,,,,,4.53,2.29,2.42,34.1562,1.664459161,,,,J,B,1,1,44,Chert,Brown,0.08,7.54,Flake,0,,Hertz,,,3.92,Single,,No,3,1,,Single,,No,3,1,,,,,,,,,,,,,Feather,,,,
J,B,1,1,45,Chert,Brown,0.05,4.62,RetF,0,,Bending,,1,1.17,Single,,,4,1,Yes,Single,,,4,1,Yes,V-D,Press,Dist,3.04,2.27,,,,,,2,Retouched,,,,,3.27,2.13,1.31,15.1074,1.412844037,,,,J,B,1,1,45,Chert,Brown,0.05,4.62,RetF,0,,Bending,,1,1.17,Single,,,4,1,Yes,Single,,,4,1,Yes,V-D,Press,Dist,3.04,2.27,,,,,,2,Retouched,,,,
J,B,1,1,46,Chert,White,0.04,4.61,Flake,0,,Hertz,,,2.26,Partcoll,,Yes,2,1,,Partcoll,,Yes,2,1,,,,,,,,,,,,,Feather,,,,,3.63,2.34,2.42,16.7343,1.269972452,,,,J,B,1,1,46,Chert,White,0.04,4.61,Flake,0,,Hertz,,,2.26,Partcoll,,Yes,2,1,,Partcoll,,Yes,2,1,,,,,,,,,,,,,Feather,,,,
J,B,1,1,47,Chert,Pink,0.01,3.35,FFrag,0,,,Trans,,,,,,1,,,,,,1,,,,,,,,Dist,,,,,,Hinge,,,,,3.85,0.94,,12.8975,0.87012987,,,,J,B,1,1,47,Chert,Pink,0.01,3.35,FFrag,0,,,Trans,,,,,,1,,,,,,1,,,,,,,,Dist,,,,,,Hinge,,,,
J,B,1,1,48,Chert,Grey,0.01,4.92,Flake-b,0,,Hertz,Long,,,Focal,,Yes,3,,,Focal,,Yes,3,,,,,,,,Llat,,,,,,Feather,,,,,4.37,1.1,,21.5004,1.125858124,,,,J,B,1,1,48,Chert,Grey,0.01,4.92,Flake-b,0,,Hertz,Long,,,Focal,,Yes,3,,,Focal,,Yes,3,,,,,,,,Llat,,,,,,Feather,,,,
J,B,1,1,49,Chert,Grey,0.01,6.14,Flake,0,,Hertz,,,,Focal,,No,3,,,Focal,,No,3,,,,,,,,,,,,,,Feather,,,,,2.54,1.12,,15.5956,2.417322835,,,,J,B,1,1,49,Chert,Grey,0.01,6.14,Flake,0,,Hertz,,,,Focal,,No,3,,,Focal,,No,3,,,,,,,,,,,,,,Feather,,,,
J,B,1,1,50,Chert,Brown,0.01,3.44,FFrag,0,,,Both,,,,,,2,,,,,,2,,,,,,,,Dist,,,,,,Step,,,,,4.88,0.63,,16.7872,0.704918033,,,,J,B,1,1,50,Chert,Brown,0.01,3.44,FFrag,0,,,Both,,,,,,2,,,,,,2,,,,,,,,Dist,,,,,,Step,,,,
